index	WEO_Subject_Code	ISO	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	Estimates_Start_After
713	PPPGDP	BLZ	0.205	0.225	0.221	0.243	0.28	0.285	0.312	0.391	0.448	0.538	0.62	0.714	0.819	0.891	0.911	0.936	0.967	1.018	1.068	1.179	1.363	1.464	1.563	1.742	1.874	1.984	2.138	2.22	2.336	2.373	2.482	2.586	2.732	2.797	2.963	3.081	3.09	3.252	3.401	3.549	3.693	3.843	4.001	2015
757	PPPGDP	BEN	2.694	3.002	3.242	3.303	3.434	3.697	3.875	3.891	4.166	4.204	4.751	5.117	5.388	5.838	6.083	6.586	6.996	7.523	7.906	8.456	9.069	9.771	10.381	10.953	11.752	12.339	13.219	14.383	15.384	15.861	16.394	17.227	18.389	20.031	21.684	22.377	23.585	25.407	27.543	29.914	32.549	35.551	38.525	2015
801	PPPGDP	BTN	0.196	0.243	0.279	0.311	0.347	0.374	0.412	0.508	0.605	0.667	0.755	0.818	0.854	0.902	0.942	1.019	1.1	1.181	1.265	1.376	1.505	1.647	1.832	2.039	2.236	2.459	2.711	3.133	3.538	3.769	4.171	4.67	5.062	5.328	5.638	6.048	6.509	7.045	8.01	9.31	10.3	11.054	11.989	2016
845	PPPGDP	BOL	10.787	11.829	12.069	12.038	12.44	12.623	12.546	13.183	14.042	15.141	16.428	17.869	18.577	19.831	21.199	22.653	24.073	25.698	27.283	27.819	29.166	30.333	31.564	33.066	35.393	38.147	41.205	44.233	47.873	49.856	52.548	56.424	60.406	65.554	70.371	74.576	78.655	83.608	88.642	93.757	98.996	104.536	110.446	2015
889	PPPGDP	BIH	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	11.258	14.068	16.185	18.199	19.44	20.352	21.709	22.996	25.107	27.012	29.427	32.016	34.47	34.449	35.137	36.188	36.463	37.939	39.036	40.669	42.234	44.462	47.048	49.907	52.899	56.151	59.613	2015
933	PPPGDP	BWA	1.789	2.115	2.603	2.998	3.307	3.675	4.072	4.798	6.129	6.665	7.519	8.253	8.424	8.972	9.091	9.933	10.703	11.761	11.974	13.333	13.907	14.259	15.357	16.388	17.294	18.664	20.847	23.173	25.103	23.358	25.668	27.782	29.555	33.439	35.45	35.222	36.708	39.054	41.601	44.348	47.192	50.121	53.242	2015
977	PPPGDP	BRA	570.249	596.062	636.815	639.447	697.282	776.449	851.863	905.061	939.219	1,006.97	1,000.68	1,044.66	1,063.48	1,139.57	1,225.91	1,306.76	1,360.00	1,430.24	1,450.65	1,479.75	1,579.82	1,638.29	1,714.23	1,768.36	1,921.64	2,046.98	2,193.47	2,388.52	2,559.44	2,575.63	2,803.37	2,974.96	3,087.96	3,232.12	3,306.57	3,216.17	3,141.34	3,216.03	3,345.50	3,485.68	3,627.10	3,774.49	3,929.81	2016
1021	PPPGDP	BRN	n/a	n/a	n/a	n/a	n/a	12.1	12.001	12.346	12.732	13.519	14.171	15.104	16.183	16.618	17.506	18.672	19.56	19.602	19.703	20.615	21.686	22.789	24.035	25.226	26.05	26.993	29.05	29.858	29.842	29.521	30.674	32.48	33.38	33.199	32.945	33.165	32.536	32.838	33.792	37.719	42.052	47.754	51.322	2015
1065	PPPGDP	BGR	39.489	45.464	50.313	53.868	58.346	61.297	65.847	70.701	74.933	77.457	73.013	67.329	63.061	57.056	56.135	56.388	52.799	52.819	55.988	56.564	60.747	64.474	69.351	74.381	81.344	89.942	99.079	109.186	118.032	114.663	117.601	122.327	124.619	127.723	131.738	137.972	144.598	152.079	159.681	167.263	174.902	182.906	191.38	2016
1109	PPPGDP	BFA	2.375	2.666	2.871	2.948	3.102	3.563	3.924	4.015	4.396	4.665	4.808	5.419	5.556	5.885	6.089	6.571	7.428	8.033	8.713	9.495	9.894	10.789	11.431	12.57	13.494	15.135	16.575	17.715	19.11	19.826	21.763	23.684	25.677	27.568	29.235	30.742	32.827	35.598	38.701	42.105	45.76	49.704	53.877	2014
1153	PPPGDP	BDI	1.388	1.703	1.789	1.929	2	2.308	2.431	2.63	2.859	3.01	3.23	3.53	3.647	3.501	3.438	3.232	3.028	3.092	3.274	3.363	3.501	3.64	3.783	3.954	4.216	4.542	4.935	5.241	5.603	5.861	6.237	6.622	7.044	7.583	8.066	7.83	7.851	8.024	8.216	8.431	8.644	8.864	9.093	2015
